학교명,관할구군청,주소,우편번호,전화번호,팩스번호
대구다사초등학교,달성군,"대구광역시 달성군 다사읍 다사로 86 , 대구다사초등학교 (다사읍)",42909,053-235-0805,053-591-1045
대구대실초등학교,달성군,대구광역시 달성군 다사읍 대실역남로1길 31 (다사읍),42919,053-235-2274,053-583-2352
대구도림초등학교,달성군,"대구광역시 달성군 다사읍 서재로26길 94 (다사읍, 대구도림초등학교)",42925,053-235-1681,053-592-1693
대구동곡초등학교,달성군,대구광역시 달성군 하빈면 달구벌대로55길 104-4 (하빈면),42903,053-235-0777,053-583-0789
대구매곡초등학교,달성군,"대구광역시 달성군 다사읍 대실역북로3길 6 , 대구매곡초등학교 (다사읍)",42912,053-235-1980,053-585-8369
대구명곡초등학교,달성군,"대구광역시 달성군 화원읍 명곡로 40 (화원읍, 명곡초등학교)",42959,053-235-1466,053-638-8305
대구반송초등학교,달성군,"대구광역시 달성군 옥포읍 용연사길 5 (옥포읍, 반송초등학교)",42977,053-235-0392,053-617-7713
대구북동초등학교,달성군,"대구광역시 달성군 논공읍 논공로11길 18 , 대구북동초등학교 (논공읍)",42978,053-235-0493,053-616-4819
대구비슬초등학교,달성군,"대구광역시 달성군 유가읍 테크노북로 144 (유가읍, 대구비슬초등학교)",43015,053-235-2405,053-614-6531
대구서동초등학교,달성군,대구광역시 달성군 다사읍 서재로7길 55 (다사읍),42929,053-233-5770,053-584-9864
대구서재초등학교,달성군,대구광역시 달성군 다사읍 서재로 100 (다사읍),42927,053-235-0902,053-585-5804
대구세천초등학교,달성군,대구광역시 달성군 다사읍 세천로 182-9 (다사읍),42930,053-235-2473,053-584-7933
대구세현초등학교,달성군,대구광역시 달성군 구지면 국가산단대로66길 10 (구지면),43008,053-233-5500,053-614-5371
대구옥포초등학교,달성군,"대구광역시 달성군 옥포읍 비슬로 2220 (옥포읍, 옥포초등학교)",42970,053-235-0303,053-614-1869
대구왕선초등학교,달성군,"대구광역시 달성군 다사읍 대실역북로 93 , 대구왕선초등학교 (다사읍)",42914,053-235-1902,053-584-7672
대구용계초등학교,달성군,대구광역시 달성군 가창면 가창로221길 1 (가창면),42933,053-235-1055,053-767-4990
대구유가초등학교,달성군,"대구광역시 달성군 유가읍 테크노대로5길 34 (유가읍, 대구유가초등학교)",43019,053-235-2578,053-615-0580
대구죽곡초등학교,달성군,"대구광역시 달성군 다사읍 죽곡1길 18 (다사읍,대구죽곡초등학교)",42918,053-235-1360,053-592-1360
대구천내초등학교,달성군,"대구광역시 달성군 화원읍 성천로 192 (화원읍, 천내초등학교)",42950,053-235-1543,053-631-4025
대구테크노초등학교,달성군,대구광역시 달성군 유가읍 현풍로 245 대구테크노초등학교,42989,2349585,6110992
대구포산초등학교,달성군,"대구광역시 달성군 현풍읍 테크노북로 80 (현풍읍, 대구포산초등학교)",42995,053-233-5564,053-611-4284
대구하빈초등학교,달성군,"대구광역시 달성군 하빈면 하빈로 391-1 (하빈면,대구하빈초등학교)",42902,053-235-1000,053-582-7859
대구현풍초등학교,달성군,"대구광역시 달성군 현풍읍 비슬로134길 167-6 (현풍읍, 현풍초등학교)",42997,053-235-0584,053-614-9198
대구화남초등학교,달성군,"대구광역시 달성군 화원읍 명천로 181 , 대구화남초등학교 (화원읍)",42960,053-235-1272,053-639-2015
대구화동초등학교,달성군,"대구광역시 달성군 화원읍 성암로 38 (화원읍, 대구화동초등학교)",42966,053-235-1772,053-643-7870
대구화원초등학교,달성군,"대구광역시 달성군 화원읍 비슬로 2580 (화원읍,대구화원초등학교)",42955,053-235-0205,053-635-8857
경서중학교,달성군,"대구광역시 달성군 옥포읍 돌미로5길 15 (옥포읍, 경서중학교)",42974,053-235-3104,053-235-3149
구지중학교,달성군,"대구광역시 달성군 구지면 국가산단대로66길 22 (구지면, 구지중학교)",43008,053-233-9888,053-611-8785
논공중학교,달성군,"대구광역시 달성군 논공읍 논공로 256 (논공읍, 논공중학교)",42985,053-235-3311,053-235-3320
다사중학교,달성군,"대구광역시 달성군 다사읍 매곡로2길 8-5 (다사읍,다사중학교)",42908,053-235-3200,053-591-7606
달성중학교,달성군,"대구광역시 달성군 화원읍 비슬로506길 14 (화원읍,달성중학교)",42956,053-235-3000,053-638-1948
북동중학교,달성군,"대구광역시 달성군 논공읍 논공로7길 43 , 북동중학교 (논공읍)",42978,053-235-3600,053-235-3613
서동중학교,달성군,"대구광역시 달성군 다사읍 서재로12길 11-11 (다사읍, 서동중학교)",42928,053-233-9810,053-584-8935
서재중학교,달성군,대구광역시 달성군 다사읍 서재로26길 18 (다사읍),42927,053-235-3491,053-235-3558
왕선중학교,달성군,"대구광역시 달성군 다사읍 대실역북로 83 (다사읍, 왕선중학교)",42914,053-235-3765,053-235-3825
유가중학교,달성군,"대구광역시 달성군 유가읍 테크노대로5길 20 (유가읍, 유가중학교)",43019,053-235-2750,053-615-2718
천내중학교,달성군,대구광역시 달성군 화원읍 성천로 202 (화원읍),42950,053-235-3675,053-641-0844
포산중학교,달성군,대구광역시 달성군 유가읍 테크노북로6길 10 (유가읍),43015,053-235-2910,053-617-3358
화원중학교,달성군,"대구광역시 달성군 화원읍 성암로 48 (화원읍, 화원중학교)",42966,053-235-3339,053-636-3401
가창중학교,달성군,"대구광역시 달성군 가창면 원정길 2 (가창면, 가창중학교)",42938,053-235-3859,053-767-7220
달서중학교,달성군,"대구광역시 달성군 하빈면 하빈로 118 (하빈면, 달서중학교)",42903,053-235-3900,053-582-4445
심인중학교,달성군,대구광역시 달성군 다사읍 대실역남로1길 21 (다사읍),42919,053-234-8540,053-655-3336
한울안중학교,달성군,대구광역시 달성군 현풍읍 지동길 31 한울안중학교 ,43007,053-233-9970,053-256-4578
현풍중학교,달성군,"대구광역시 달성군 현풍읍 비슬로 675 (현풍읍, 현풍중.고등학교)",43001,053-235-3963,053-615-2074
경북대학교사범대학부설초등학교,중구,"대구광역시 중구 달구벌대로 2150 (봉산동, 경북대학사범대학부속초등학교)",41959,053-232-5804,053-427-9455
대구강동초등학교,동구,"대구광역시 동구 동호로7길 17 , 대구강동초등학교 (신서동)",41088,053-232-5051,053-963-8706
대구경동초등학교,수성구,"대구광역시 수성구 청호로76길 12 (범어동,경동초등학교)",42082,053-232-3000,053-753-8831
대구고산초등학교,수성구,"대구광역시 수성구 달구벌대로 3067 (시지동,고산초등학교)",42262,053-232-2670,053-791-3736
대구공산초등학교,동구,"대구광역시 동구 팔공로197길 35 (백안동, 대구공산초등학교)",41009,053-232-2200,053-983-8005
대구남산초등학교,중구,"대구광역시 중구 남산로 70 , 남산초등학교 (남산동)",41970,053-232-0404,053-254-4973
대구노변초등학교,수성구,"대구광역시 수성구 노변공원로 52 (시지동, 대구노변초등학교)",42259,053-232-4545,053-791-8158
대구대청초등학교,수성구,"대구광역시 수성구 교학로12길 42 (만촌동, 대청초등학교)",42077,053-232-3500,053-753-8541
대구덕성초등학교,동구,"대구광역시 동구 아양로34길 50 , 대구덕성초등학교 (신암동)",41224,053-232-3402,053-939-7017
대구동덕초등학교,중구,"대구광역시 중구 동덕로26길 20 (삼덕동2가,동덕초등학교)",41948,053-232-0844,053-427-0792
대구동도초등학교,수성구,"대구광역시 수성구 동대구로57길 8 (범어동, 동도초등학교)",42118,053-232-0482,053-753-9777
대구동문초등학교,수성구,대구광역시 수성구 효행로2길 111 (만촌동),42064,053-232-3242,053-956-5399
대구동부초등학교,동구,"대구광역시 동구 신암북로7길 22 , 대구동부초등학교 (신암동, 대구동부초등학교)",41191,053-232-1844,053-959-0783
대구동산초등학교,수성구,"대구광역시 수성구 동대구로42길 29 (범어동,동산초등학교)",42109,053-232-2894,053-744-2205
대구동성초등학교,수성구,"대구광역시 수성구 수성로 311 (수성동1가,대구동성초등학교)",42131,053-232-1506,053-766-1435
대구동신초등학교,동구,"대구광역시 동구 송라로 123 , 대구동신초등학교 (신암동)",41202,053-232-1703,053-959-4552
대구동원초등학교,수성구,"대구광역시 수성구 국채보상로 1000 , 대구동원초등학교 (만촌동)",42048,053-232-2182,053-744-4452
대구동인초등학교,중구,대구광역시 중구 국채보상로 728 (동인동4가),41946,053-232-0733,053-427-9416
대구동일초등학교,수성구,"대구광역시 수성구 들안로 311 (수성동2가, 동일초등학교)",42123,053-232-3200,053-759-3190
대구동천초등학교,수성구,"대구광역시 수성구 상록로16길 20 (범어동, 대구동천초등학교)",42012,053-232-1484,053-754-0040
대구동촌초등학교,동구,"대구광역시 동구 동촌로 168 (방촌동, 대구동촌초등학교)",41159,053-232-1000,053-982-9943
대구동호초등학교,동구,"대구광역시 동구 동호로 25 (동호동,대구동호초등학교)",41086,053-232-5005,053-961-3515
대구두산초등학교,수성구,"대구광역시 수성구 동대구로6길 31 , 대구두산초등학교 (지산동)",42185,053-232-3592,053-768-8835
대구들안길초등학교,수성구,"대구광역시 수성구 들안로16길 58 (두산동, 대구들안길초등학교)",42169,053-232-5582,053-763-8562
대구만촌초등학교,수성구,"대구광역시 수성구 국채보상로214길 33 (만촌동,대구만촌초등학교)",42050,053-232-2010,053-743-4456
대구매동초등학교,수성구,"대구광역시 수성구 천을로31길 16 (매호동,대구매동초등학교)",42265,053-232-5400,053-791-2530
대구매호초등학교,수성구,"대구광역시 수성구 달구벌대로647길 30 (매호동,대구매호초등학교)",42270,053-232-4580,053-232-4688
대구명덕초등학교,중구,"대구광역시 중구 남산로2길 125 (남산동,명덕초등학교)",41968,053-232-0606,053-252-3749
대구반야월초등학교,동구,대구광역시 동구 안심로49길 70 (서호동),41112,053-232-2373,053-964-2972
대구방촌초등학교,동구,"대구광역시 동구 동촌로42길 35-14 , 방촌초등학교 (방촌동)",41160,053-232-3430,053-985-6521
대구범물초등학교,수성구,대구광역시 수성구 지범로41길 33 (범물동),42199,053-232-4047,053-784-3093
대구범어초등학교,수성구,"대구광역시 수성구 달구벌대로489길 55 , 대구범어초등학교 (범어동)",42029,053-232-1783,053-756-2219
대구범일초등학교,수성구,"대구광역시 수성구 범안로4길 22 (범물동, 범일초등학교)",42243,053-232-4120,053-782-0374
대구복명초등학교,수성구,"대구광역시 수성구 범안로20길 8 (범물동, 복명초등학교)",42241,053-232-4805,053-784-4980
대구봉무초등학교,동구,대구광역시 동구 팔공로53길 30 (봉무동),41023,053-232-5705,053-986-9118
대구불로초등학교,동구,"대구광역시 동구 방천로3길 19 , 대구 불로초등학교 (불로동)",41042,053-232-3293,053-985-7566
대구사월초등학교,수성구,"대구광역시 수성구 달구벌대로656길 46 , 대구사월초등학교 (신매동,사월초등학교)",42279,053-232-5300,053-217-5576
대구삼덕초등학교,중구,"대구광역시 중구 달구벌대로447길 10 , 대구삼덕초등학교 (삼덕동3가)",41948,053-232-0473,053-253-0425
대구새론초등학교,동구,대구광역시 동구 과학로13길 5 (각산동),41066,053-232-9605,053-964-9585
대구서촌초등학교,동구,대구광역시 동구 파계로 525-11 (중대동),41001,053-232-2323,053-984-0055
대구성동초등학교,수성구,"대구광역시 수성구 청수로45길 27 , 성동초등학교 (황금동)",42112,053-232-2800,053-766-2724
대구송정초등학교,동구,"대구광역시 동구 안심로90길 9 (괴전동, 대구송정초등학교)",41092,053-232-2544,053-964-2605
대구수성초등학교,수성구,"대구광역시 수성구 상화로5길 40 (상동, 수성초등학교)",42157,053-232-0700,053-763-0327
대구수창초등학교,중구,대구광역시 중구 달성로22길 30 (수창동),41920,053-232-0302,053-257-2160
대구숙천초등학교,동구,"대구광역시 동구 숙천로 17 , 대구숙천초등학교 (숙천동)",41070,053-232-9800,053-232-9797
대구시지초등학교,수성구,"대구광역시 수성구 달구벌대로631길 17 (매호동, 대구시지초등학교)",42268,053-232-4304,053-792-7500
대구신매초등학교,수성구,"대구광역시 수성구 달구벌대로650길 26 (신매동, 신매초등학교)",42275,053-232-4271,053-792-8125
대구신성초등학교,동구,대구광역시 동구 동북로71길 29 (신암동),41181,053-232-2854,053-954-1630
대구신천초등학교,동구,대구광역시 동구 송라로6길 5 (신천동),41259,053-232-1173,053-752-5624
대구아양초등학교,동구,대구광역시 동구 아양로 221 (신암동),41186,053-232-1300,053-232-1310
대구안일초등학교,동구,"대구광역시 동구 율하동로23길 66 , 대구안일초등학교 (율하동)",41122,053-232-2501,053-964-2590
대구용지초등학교,수성구,대구광역시 수성구 지산로 12 (지산동),42214,053-232-3800,053-782-1450
대구용호초등학교,동구,"대구광역시 동구 동촌로56길 82 , 대구용호초등학교 (방촌동)",41165,053-232-4707,053-984-6493
대구욱수초등학교,수성구,대구광역시 수성구 신매로 20 (신매동),42283,053-232-4400,053-793-1887
대구율금초등학교,동구,대구광역시 동구 안심로16길 70 (율하동),41107,053-232-5609,053-963-8754
대구율원초등학교,동구,"대구광역시 동구 율하동로 55 (율하동, 대구율원초등학교)",41099,053-232-5485,053-963-7634
대구율하초등학교,동구,"대구광역시 동구 율하동로15길 1 , 대구율하초등학교 (율하동)",41121,053-232-4004,053-964-0466
대구입석초등학교,동구,"대구광역시 동구 아양로 300 (입석동, 대구입석초등학교)",41153,053-232-3903,053-983-6835
대구종로초등학교,중구,"대구광역시 중구 경상감영길 49 , 대구종로초등학교 (서문로1가)",41919,053-232-0800,053-255-8278
대구중앙초등학교,수성구,대구광역시 수성구 만촌로 125 (만촌동),42037,053-232-4902,053-232-4909
대구지묘초등학교,동구,대구광역시 동구 파계로6길 54-3 대구지묘초등학교(지묘동),41002,053-232-2311,053-985-6324
대구지봉초등학교,수성구,"대구광역시 수성구 지범로31길 45 (지산동, 지봉초등학교)",42193,053-232-3847,053-781-8636
대구지산초등학교,수성구,"대구광역시 수성구 지범로17길 3-14 (지산동),(지산초등학교)",42187,053-232-0907,053-783-7449
대구청림초등학교,수성구,대구광역시 수성구 고산로 51 (노변동),42257,053-232-5165,053-795-9117
대구초등학교,중구,"대구광역시 중구 명륜로23길 80 (봉산동,대구초등학교)",41958,053-232-0204,053-426-5974
대구파동초등학교,수성구,대구광역시 수성구 파동로51길 34 (파동),42222,053-232-3099,053-768-8014
대구팔공초등학교,동구,"대구광역시 동구 연경지묘로 150 , 대구팔공초등학교 (지묘동)",41003,053-233-5270,053-981-8002
대구해서초등학교,동구,"대구광역시 동구 팔공로 220-4 , 대구해서초등학교 (봉무동)",41027,053-232-1103,053-983-1705
대구해안초등학교,동구,"대구광역시 동구 옻골로 50 (부동, 대구해안초등학교)",41055,053-232-0951,053-981-6588
대구황금초등학교,수성구,"대구광역시 수성구 들안로32길 22 , 황금초등학교 (황금동)",42148,053-232-2043,053-768-5864
대구효동초등학교,동구,"대구광역시 동구 효동로 78-7 (효목동,효동초등학교)",41171,053-232-3703,053-959-4744
대구효목초등학교,동구,"대구광역시 동구 화랑로27길 25 (효목동, 대구효목초등학교)",41240,053-232-1666,053-742-1438
대구효신초등학교,동구,"대구광역시 동구 동부로34길 70 (신천동, 대구효신초등학교)",41247,053-232-1913,053-743-0514
동대구초등학교,동구,"대구광역시 동구 신암남로 45 (신암동, 동대구초등학교)",41211,053-232-1404,053-939-1404
계성초등학교,중구,"대구광역시 중구 달성로 15 (대신동,계성초등학교)",41927,053-253-4191,053-254-5132
대구삼육초등학교,수성구,"대구광역시 수성구 청수로 22-23 (중동, 삼육초등학교)",42156,053-232-5964,053-768-7232
영신초등학교,동구,대구광역시 동구 팔공로50길 32 (봉무동),41021,053-232-5900,053-232-5920
경북대학교사범대학부설중학교,중구,"대구광역시 중구 달구벌대로 2178 (대봉동, 경북대학교사범대학부설중.고등학교)",41950,053-232-8255,053-427-0678
강동중학교,동구,"대구광역시 동구 동호로 112 (신서동, 강동중학교)",41089,053-232-7615,053-965-7615
고산중학교,수성구,"대구광역시 수성구 천을로 71 (시지동, 고산중학교)",42261,053-232-7510,053-792-3599
노변중학교,수성구,"대구광역시 수성구 시지로 66 (노변동,노변중학교)",42251,(053)232-8046,(053)794-8040
대구동부중학교,수성구,"대구광역시 수성구 화랑로32길 74 (만촌동, 동부중학교)",42034,053-232-7045,053-741-0660
대구동중학교,수성구,대구광역시 수성구 수성로76길 33 (수성동2가),42123,053-232-6000,053-756-8808
대구제일중학교,중구,대구광역시 중구 명륜로23길 16 (봉산동),41958,053-232-7777,053-425-4436
대구팔공중학교,동구,"대구광역시 동구 연경지묘로 150 , 대구팔공중학교 (지묘동)",41003,053-233-5190,981-8003
덕화중학교,수성구,"대구광역시 수성구 들안로9길 36 (상동,덕화중학교)",42163,053-232-7786,053-768-3342
동도중학교,수성구,"대구광역시 수성구 청호로 350 (범어동, 동도중학교)",42082,053-232-7270,053-745-6626
동원중학교,수성구,대구광역시 수성구 효행로2길 81 (만촌동),42064,053-232-6400,053-957-1451
동촌중학교,동구,대구광역시 동구 동촌로 176 (방촌동),41159,053-232-6164,053-985-5035
매호중학교,수성구,"대구광역시 수성구 천을로 106 (매호동, 매호중학교)",42268,053-232-7400,053-791-9840
범물중학교,수성구,"대구광역시 수성구 범안로4길 46 , 범물중학교 (범물동)",42243,053-232-6804,053-782-8435
범일중학교,수성구,"대구광역시 수성구 지범로41길 23 (범물동,범일중학교)",42199,053-232-7870,053-784-9628
불로중학교,동구,"대구광역시 동구 방천로5길 8 (불로동,불로중학교)",41042,053-232-6572,053-983-9216
새론중학교,동구,대구광역시 동구 이노밸리로 255 (신서동),41068,053-233-5801,053-964-6464
수성중학교,수성구,"대구광역시 수성구 파동로51길 26-9 (파동, 수성중학교)",42222,053-232-6316,053-768-6862
시지중학교,수성구,대구광역시 수성구 신매로 66 (신매동),42275,053-232-6830,053-791-4191
신기중학교,동구,"대구광역시 동구 율하동로 88 (신기동, 신기중학교)",41116,053-232-7365,053-964-2153
신아중학교,동구,대구광역시 동구 아양로39길 30 (신암동),41185,053-232-7130,053-959-4909
안심중학교,동구,"대구광역시 동구 안심로 237 (서호동, 안심중학교)",41117,053-232-6231,053-964-1233
율원중학교,동구,"대구광역시 동구 율하동로 20 (율하동, 율원중학교)",41103,053-232-8200,053-965-9147
입석중학교,동구,"대구광역시 동구 동촌로 10 , 입석중학교 (입석동)",41153,053-232-6940,053-985-0711
지산중학교,수성구,"대구광역시 수성구 지산로3길 68 (지산동, 지산중학교)",42205,053-232-6633,053-782-6576
황금중학교,수성구,"대구광역시 수성구 들안로32길 40 (황금동, 황금중학교)",42148,053-232-7955,053-763-2469
경구중학교,중구,"대구광역시 중구 남산로 20 (남산동, 경북공업고등학교,경구중학교)",41972,053-232-8900,053-255-3844
경신중학교,수성구,"대구광역시 수성구 달구벌대로504길 34 (범어동,경신중학교)",42093,053-233-9400,053-233-9460
계성중학교,중구,"대구광역시 중구 달성로 35 (대신동, 계성중고등학교)",41927,053-232-8351,053-253-0929
공산중학교,동구,"대구광역시 동구 팔공로197길 26 (백안동,공산중학교)",41009,053-232-9040,053-984-9436
능인중학교,수성구,대구광역시 수성구 무학로 207 (지산동),42183,053-232-9121,053-768-5119
대구중앙중학교,수성구,"대구광역시 수성구 신천동로 496 (수성동4가, 대구중앙중학교)",42000,053-770-0000,053-770-0089
대륜중학교,수성구,"대구광역시 수성구 달구벌대로 2700 , 대륜중학교 (만촌동)",42071,053-232-8380,053-756-9603
덕원중학교,수성구,"대구광역시 수성구 욱수길 37 (욱수동, 덕원고등학교, 덕원중학교)",42288,053-232-8560,053-792-9341
성명여자중학교,중구,대구광역시 중구 국채보상로102길 48 (동산동),41931,053-254-1808,053-254-1806
소선여자중학교,수성구,"대구광역시 수성구 교학로8길 37 (만촌동, 소선여자중학교)",42078,053-232-9502,053-753-7534
신명여자중학교,수성구,"대구광역시 수성구 신천동로 364 (수성동1가, 신명여중)",42129,053-232-9290,053-744-3705
영신중학교,동구,"대구광역시 동구 팔공로50길 32 (봉무동, 영신중학교)",41021,053-232-8500,053-981-9749
오성중학교,수성구,대구광역시 수성구 달구벌대로522길 78 (만촌동),42083,053-232-8700,053-743-8730
정화중학교,수성구,"대구광역시 수성구 청호로84길 123 , 정화중학교 (범어동)",42083,053-232-9202,053-745-6310
청구중학교,동구,"대구광역시 동구 국채보상로 827 , 청구중학교 (신천동)",41262,053-232-8787,053-751-5727
대구강북초등학교,북구,"대구광역시 북구 구암서로 50 (구암동, 강북초등학교)",41425,053-233-3655,053-322-2894
대구경운초등학교,서구,대구광역시 서구 평리로54길 16 (내당동),41850,053-233-1703,053-556-3669
대구경진초등학교,북구,"대구광역시 북구 경진로12길 5 (복현동, 경진초등학교)",41565,053-233-2668,053-943-0551
대구관남초등학교,북구,대구광역시 북구 칠곡중앙대로91길 10 (관음동),41443,053-233-3850,053-325-5205
대구관문초등학교,북구,대구광역시 북구 매전로 32 (매천동),41487,053-233-4700,053-326-9850
대구관음초등학교,북구,"대구광역시 북구 관음동로17길 16 (관음동, 관음초등학교)",41444,053-233-2892,053-324-7198
대구관천초등학교,북구,"대구광역시 북구 구암로22길 17 (태전동, 대구관천초등학교)",41460,053-233-3042,053-324-0652
대구교동초등학교,북구,대구광역시 북구 관음중앙로34길 4 (읍내동),41442,053-233-3363,053-323-7394
대구구암초등학교,북구,대구광역시 북구 학정로 245 (구암동),41464,053-233-3180,053-324-3413
대구국우초등학교,북구,대구광역시 북구 도남중앙로10길 45 (국우동),41408,053-233-8835,053-233-8839
대구내서초등학교,서구,"대구광역시 서구 달구벌대로371길 35 (내당동,내서초등학교)",41867,053-233-2831,053-565-5803
대구달산초등학교,북구,대구광역시 북구 옥산로17길 37 (침산동),41590,053-233-2601,053-356-6572
대구달서초등학교,서구,대구광역시 서구 국채보상로34길 35 (중리동),41836,053-233-1900,053-566-2289
대구달성초등학교,서구,"대구광역시 서구 고성로 127 (원대동1가, 달성초등학교)",41728,053-233-0293,053-351-2245
대구대산초등학교,북구,"대구광역시 북구 신천동로 900 (산격동, 대산초등학교)",41539,053-233-2300,053-944-0307
대구대성초등학교,서구,대구광역시 서구 국채보상로 426 (비산동),41805,053-233-0608,053-572-2805
대구대천초등학교,북구,대구광역시 북구 구암로21길 54 (읍내동),41437,053-233-3439,053-324-8165
대구도남초등학교,북구,"대구광역시 북구 구리로 202 (국우동, 대구도남초등학교)",41418,053-233-2205,053-326-2330
대구동변초등학교,북구,"대구광역시 북구 동변로 60 , 대구동변초등학교 (동변동)",41414,053-233-4224,053-958-8606
대구동평초등학교,북구,"대구광역시 북구 동천로 84 (동천동, 대구동평초등학교)",41427,053-233-3865,053-326-7120
대구두류초등학교,서구,"대구광역시 서구 달구벌대로357길 22 (내당동, 두류초등학교)",41864,053-233-2712,053-567-4803
대구매천초등학교,북구,"대구광역시 북구 매천로 179 (매천동, 대구매천초등학교)",41485,053-233-2134,053-314-5369
대구문성초등학교,북구,"대구광역시 북구 복현로 180 (복현동, 대구문성초등학교)",41522,053-233-0804,053-381-4980
대구복현초등학교,북구,대구광역시 북구 공항로 58 대구복현초등학교,41527,053-233-1804,053-942-5701
대구북부초등학교,북구,"대구광역시 북구 동천로 20 (동천동, 대구북부초등학교)",41431,053-233-3096,053-326-6905
대구북비산초등학교,서구,"대구광역시 서구 통학로48길 7 , 비산동 786-1 (비산동)",41740,053-233-1505,053-561-2799
대구비봉초등학교,서구,"대구광역시 서구 달서로45길 30 (비산동, 비봉초등학교)",41742,053-233-2774,053-522-2829
대구비산초등학교,서구,대구광역시 서구 통학로 202 (평리동),41778,053-233-1344,053-565-7130
대구사수초등학교,북구,대구광역시 북구 내곡로 124 (사수동),41492,053-233-4804,053-233-4824
대구산격초등학교,북구,"대구광역시 북구 산격로10길 14 (산격동, 대구산격초등학교)",41544,053-233-1181,053-943-3913
대구삼영초등학교,북구,"대구광역시 북구 내곡로 63 , 삼영초등학교 (사수동)",41493,053-233-4950,053-327-2555
대구서도초등학교,서구,"대구광역시 서구 평리로 395 , 서도초등학교 (평리동)",41821,053-233-1450,053-556-1581
대구서변초등학교,북구,"대구광역시 북구 호국로43길 35 (서변동,대구서변초등학교)",41477,053-233-4400,053-956-5534
대구서부초등학교,서구,대구광역시 서구 달서로26길 25 (비산동),41800,053-233-0205,053-559-3458
대구서평초등학교,서구,"대구광역시 서구 서대구로45길 60 (평리동,서평초등학교)",41760,053-233-2350,053-552-1798
대구성북초등학교,북구,"대구광역시 북구 호국로57길 42 (서변동,대구성북초등학교)",41474,053-233-1101,053-951-2125
대구신암초등학교,북구,대구광역시 북구 경대로 21 (대현동),41569,053-233-0674,053-951-9566
대구연경초등학교,북구,"대구광역시 북구 연경중앙로11길 19 , 대구연경초등학교 (연경동)",41409,053-233-5001,053-233-5074
대구옥산초등학교,북구,"대구광역시 북구 칠성시장로23길 55 (칠성동2가, 대구옥산초등학교)",41578,053-233-1090,053-427-8214
대구운암초등학교,북구,"대구광역시 북구 대천로 148 (구암동, 대구운암초등학교)",41429,053-233-4174,053-326-6086
대구이현초등학교,서구,"대구광역시 서구 국채보상로37길 35 (평리동, 이현초등학교)",41764,053-233-1604,053-562-8681
대구인지초등학교,서구,"대구광역시 서구 서대구로66길 20 , 대구인지초등학교 (비산동)",41719,053-233-0575,053-357-0003
대구중리초등학교,서구,대구광역시 서구 국채보상로 135 (이현동),41759,053-233-0754,053-564-7966
대구칠곡초등학교,북구,"대구광역시 북구 칠곡중앙대로110길 5 (읍내동, 칠곡초등학교)",41433,053-233-2100,053-322-5623
대구칠성초등학교,북구,"대구광역시 북구 침산남로32길 17 , 대구칠성초등학교 (침산동)",41584,053-233-0385,053-356-1488
대구침산초등학교,북구,"대구광역시 북구 성북로 25 (침산동, 침산초등학교)",41547,053-233-1005,053-356-2560
대구태암초등학교,북구,"대구광역시 북구 칠곡중앙대로52길 56 (태전동, 대구태암초등학교)",41466,053-233-3583,053-311-8076
대구태전초등학교,북구,"대구광역시 북구 칠곡중앙대로75길 16 (태전동, 대구태전초등학교)",41451,053-233-3001,053-324-3020
대구태현초등학교,북구,"대구광역시 북구 태전로 95 (태전동,대구태현초등학교)",41454,053-233-3283,053-311-0545
대구팔달초등학교,북구,"대구광역시 북구 매천로2길 19-6 (팔달동, 대구팔달초등학교)",41489,053-233-3565,053-312-0309
대구평리초등학교,서구,대구광역시 서구 국채보상로53길 6-5 (평리동),41775,053-233-1300,053-565-2504
대구학남초등학교,북구,"대구광역시 북구 학정동로 23 (국우동, 대구학남초등학교)",41420,053-233-3995,053-326-5810
대구학정초등학교,북구,"대구광역시 북구 학남로 32 , 학정초등학교 (학정동)",41417,053-233-4546,053-322-5590
대구함지초등학교,북구,"대구광역시 북구 동천로 33 , 대구함지초등학교 (동천동)",41430,053-233-4505,053-327-1066
북대구초등학교,북구,"대구광역시 북구 동북로37길 68 (산격동,북대구초등학교)",41517,053-233-2467,053-383-7757
서대구초등학교,서구,"대구광역시 서구 서대구로63길 28-13 , 서대구초등학교 (비산동)",41710,053-233-1650,053-356-3268
강북중학교,북구,"대구광역시 북구 구암서로 27 (구암동, 강북중학교)",41428,053-233-8071,053-327-0330
경운중학교,서구,"대구광역시 서구 서대구로3길 32 (내당동, 경운중학교)",41853,053-233-6000,053-562-6994
경일중학교,서구,"대구광역시 서구 달서천로76길 11 (원대동1가, 경일중학교)",41734,053-233-6100,053-356-1870
관음중학교,북구,"대구광역시 북구 관음동로 87 , 관음중학교 (관음동)",41444,053-233-7151,053-321-5221
관천중학교,북구,대구광역시 북구 구암로22길 7 (태전동),41460,053-233-6771,053-321-6749
구암중학교,북구,"대구광역시 북구 태암로 85 (구암동, 구암중학교)",41464,053-233-7288,053-322-5424
대구북중학교,북구,"대구광역시 북구 공항로 50 (복현동, 대구북중학교)",41527,053-233-6330,053-952-2614
대구일중학교,북구,"대구광역시 북구 옥산로17길 21 (침산동,대구일중학교)",41590,053-233-7500,053-233-7483
대구체육중학교,북구,대구광역시 북구 칠곡중앙대로136길 29 (동호동),41404,053-233-8700,053-314-8115
대평중학교,서구,"대구광역시 서구 통학로 217 (평리동, 대평중학교)",41739,053-233-7903,053-563-2306
